YDL215C
YOR289W
YBR031W
YKL065C
YGR107W
YNL036W
YNL289W
YHR178W
YGR091W
YOR095C
YDR525W_A
YGL157W
YBL078C
YGL050W
YDR428C
YER026C
YDR034W_B
YGR110W
YJR109C
YPL135W
YNL112W
YER035W
YKR039W
YEL011W
YKL194C
YPL206C
YPL081W
YGR161C
YNL081C
YLR420W
YMR197C
YCL049C
YBR187W
YDR171W
YOR168W
YPL019C
YML004C
YMR271C
YOR108W
YGR260W
YHR204W
YNL073W
YIL024C
YDR472W
YDL025C
YGL117W
YHR124W
YNL067W
YER154W
YER063W
YDR406W
YKR046C
YCR020C
YGR123C
YNR068C
YMR200W
YGL185C
YNR026C
YGL184C
YMR140W
YPR069C
YER103W
YKL175W
YOR175C
YPL227C
YDR118W
YHR018C
YDR035W
