r_1081
r_1124
r_1465
r_1470
r_1471
r_1476
r_1482
r_1500
r_1648
r_1987
r_1988
r_2003
r_2023
r_2030
r_2043
r_2395
r_2585
r_2620
r_2639
r_2652
r_2656
r_2703
r_3238
r_3244
r_3256
r_3340
r_3505
r_3641
r_3645
r_3714
r_3727
r_3984
r_3996
r_4002
r_4026
r_4032
YBL015W
YLR153C
Q0070
YLR102C
YBR286W
YNR051C
YPR057W
YGR188C
YNL278W
YOR276W
YKR036C
YLR103C
YMR168C
YCL064C
YBR038W
YGR167W
YKL137W
YDL067C
YKL139W
YDR402C
YER179W
YLR405W
YMR299C
YLR284C
YHR174W
YBR247C
YGR243W
YKR009C
YJL221C
YAL034C
YOL051W
YIR013C
YNL062C
YER038C
YKL110C
YJL134W
YPR073C
YDR060W
YBR119W
YFR002W
YDL167C
YGR159C
YLL004W
YOL136C
YAL036C
YPL180W
YGR186W
YDR472W
YKR079C
YML028W
YBR058C_A
YKL033W
YGR185C
Q0140
YCR085W
YCR087W
YDL023C
YDL038C
YDL071C
YDL124W
YGR219W
YJR030C
YKL031W
YKL105C
YKL161C
YKL169C
YLL067C
YPR078C
YPR097W
YPR142C
